,0
0,0.0
1,-0.005259868382975325
2,-0.01033628780816487
3,-0.015275921056770428
4,-0.020114919881694403
5,-0.024890863462126208
6,-0.02963854175902458
7,-0.03439176105308823
8,-0.03918280943849888
9,-0.04404271444595313
10,-0.04900112425336843
11,-0.05408625194447472
12,-0.05932472118505949
13,-0.06474137703683254
14,-0.07035904205411381
15,-0.0761982301085652
16,-0.08227681953705643
17,-0.08860969272775068
18,-0.09520834881459117
19,-0.10208049806888732
20,-0.1092296476863327
21,-0.11665469010583951
22,-0.12434950627746955
23,-0.13230259754008664
24,-0.14049676085933951
25,-0.14890882307611428
26,-0.15750945044328105
27,-0.16626305000095626
28,-0.17512777915286093
29,-0.1840556790393033
30,-0.19299294582355078
31,-0.2018803516833385
32,-0.21065382400636648
33,-0.21924518694110823
34,-0.22758306402647427
35,-0.2355939341786227
36,-0.24320332602601594
37,-0.2503371277588014
38,-0.25692298172923916
39,-0.26289172555309254
40,-0.2681788350403121
41,-0.2727258195701485
42,-0.2764815181155369
43,-0.27940324448482656
44,-0.2814577337646315
45,-0.2826218484474711
46,-0.2828830120720968
47,-0.2822393498823091
48,-0.28069952928147646
49,-0.27828230681838517
50,-0.2750158021045867
51,-0.27093653147353686
52,-0.2660882445037533
53,-0.26052061409311345
54,-0.2542878351886164
55,-0.2474471884184078
56,-0.24005762287783586
57,-0.23217840755765112
58,-0.2238678939145541
59,-0.21518242352635933
60,-0.20617540534027048
61,-0.19689657738517255
62,-0.1873914585735234
63,-0.1777009878512656
64,-0.16786134081830317
65,-0.15790390825432346
66,-0.14785541683315165
67,-0.13773816966881416
68,-0.12757038309551277
69,-0.11736659606420755
70,-0.10713812952488498
71,-0.09689357492250512
72,-0.08663929323532073
73,-0.0763799086108783
74,-0.06611878341875697
75,-0.05585846428157505
76,-0.045601091243730664
77,-0.035348764600888996
78,-0.025103865984255163
79,-0.014869332042536685
80,-0.004648880484330888
81,0.005552810651976644
82,0.015729968819133865
83,0.025875635628793386
84,0.03598161577150926
85,0.0460384634114332
86,0.0560355032225405
87,0.06596088326934134
88,0.07580165703601983
89,0.0855438920605315
90,0.09517280283767242
91,0.10467290594620396
92,0.11402819579181414
93,0.12322234005044086
94,0.1322388950238205
95,0.1410615429545012
96,0.14967435629554102
97,0.15806209856772568
98,0.16621057855795598
99,0.17410708525960913
100,0.1817409464212724
101,0.18910427532712834
102,0.1961929999409043
103,0.20300830687561325
104,0.20955867984302268
105,0.2158627663498999
106,0.22195336225983878
107,0.22788285153443855
108,0.23373046195731229
109,0.23961167377919718
110,0.24569001683024846
111,0.25219127749401976
112,0.25941977384092746
113,0.2677758156262527
114,0.2777727316634602
115,0.29005093675372867
116,0.30538547811308914
117,0.3246824696930647
118,0.3489589571802113
119,0.3793003653885785
120,0.41679000319069637
121,0.4624067726525774
122,0.5168902057729562
123,0.5805775494500284
124,0.6532246161010211
125,0.7338322082507462
126,0.8205147732673195
127,0.9104487176427287
128,1.0
